Sl 	Day		Start_Time	Vehicle in Lane 1	Vehicle in Lane 2
01 	Saturday	00.00.10	10	10
02 	Saturday	03.00.10	10	10
03 	Saturday	06.00.10	10	10
04 	Saturday	09.00.10	10	10
05 	Saturday	12.00.10	10	10
06 	Saturday	15.00.10	10	10
07	Saturday	18.00.10	19	10
07	Saturday	18.00.10	18	10
07	Saturday	18.00.10	17	10
07	Saturday	18.00.10	16	10
07	Saturday	18.00.10	15	10
07	Saturday	18.00.10	19	19
07	Saturday	18.00.10	18	18
07	Saturday	18.00.10	17	17
07	Saturday	18.00.10	16	16
07	Saturday	18.00.10	15	15
08	Saturday	21.00.10	10	10
09	Sunday		00.00.10	10	10
10	Sunday		03.00.10	10	10
11	Sunday		06.00.10	20	10
12	Sunday		09.00.10	20	10
12	Sunday		09.00.10	20	10
12	Sunday		09.00.10	20	10
13	Sunday		12.00.10	10	10
14	Sunday		15.00.10	10	10
15	Sunday		18.00.10	10	10
16	Sunday		21.00.10	10	10
17	Monday		00.00.10	10	10
18	Monday		03.00.10	10	10
19	Monday		06.00.10	10	10
20	Monday		09.00.10	10	10
21	Monday		12.00.10	10	10
22	Monday		15.00.10	10	10
23	Monday	 	18.00.10	10	10
24	Monday		21.00.10	10	10
25	Tuesday		00.00.10	10	10
26	Tuesday		03.00.10	10	10
27	Tuesday		06.00.10	10	10
28	Tuesday		09.00.10	10	10
29	Tuesday		12.00.10	10	10
30	Tuesday		15.00.10	10	10
31	Tuesday		18.00.10	10	10
32	Tuesday		21.00.10	10	10
33	Wednesday	00.00.10	10	10
34	Wednesday	03.00.10	10	10
35	Wednesday	06.00.10	10	10
36	Wednesday	09.00.10	10	10
37	Wednesday	12.00.10	10	10
38	Wednesday	15.00.10	10	10
39	Wednesday	18.00.10	10	10
40	Wednesday	21.00.10	10	10
41	Thursday	00.00.10	10	10
42	Thursday	03.00.10	10	10
43	Thursday	06.00.10	10	10
44	Thursday	09.00.10	10	10
45	Thursday	12.00.10	10	10
46	Thursday	15.00.10	10	10
47	Thursday	18.00.10	10	10
48	Thursday	21.00.10	10	10
49	Friday		00.00.10	10	10
50	Friday		03.00.10	10	10
51	Friday		06.00.10	10	10
52	Friday		09.00.10	10	10
53	Friday		12.00.10	10	10
54	Friday		15.00.10	10	10
55	Friday		18.00.10	10	10
56	Friday		21.00.10	10	10
